central,east,national,north,south,west,timestamp
30,39,39,38,35,27,2017-01-01T01:00:00+08:00
32,42,42,39,36,29,2017-01-01T02:00:00+08:00
33,44,44,41,38,32,2017-01-01T03:00:00+08:00
34,45,45,43,40,35,2017-01-01T04:00:00+08:00
34,47,47,43,42,36,2017-01-01T05:00:00+08:00
35,47,47,44,43,36,2017-01-01T06:00:00+08:00
35,48,48,44,44,37,2017-01-01T07:00:00+08:00
35,48,48,44,43,37,2017-01-01T08:00:00+08:00
36,49,49,43,42,37,2017-01-01T09:00:00+08:00
35,48,48,42,42,37,2017-01-01T10:00:00+08:00
34,48,48,42,41,37,2017-01-01T11:00:00+08:00
33,48,48,41,41,38,2017-01-01T12:00:00+08:00
33,47,47,40,40,36,2017-01-01T14:00:00+08:00
33,46,46,40,39,36,2017-01-01T15:00:00+08:00
33,46,46,40,39,36,2017-01-01T16:00:00+08:00
33,44,44,41,39,35,2017-01-01T17:00:00+08:00
33,45,45,41,40,34,2017-01-01T18:00:00+08:00
33,44,44,42,41,33,2017-01-01T19:00:00+08:00
33,43,43,41,42,33,2017-01-01T20:00:00+08:00
35,43,44,41,44,33,2017-01-01T21:00:00+08:00
34,43,43,41,43,32,2017-01-01T22:00:00+08:00
34,43,43,40,41,33,2017-01-01T23:00:00+08:00
32,42,42,39,39,33,2017-01-02T01:00:00+08:00
31,40,40,39,38,31,2017-01-02T02:00:00+08:00
31,40,40,38,36,29,2017-01-02T03:00:00+08:00
30,40,40,37,34,27,2017-01-02T04:00:00+08:00
31,40,40,38,33,26,2017-01-02T05:00:00+08:00
30,41,41,38,34,26,2017-01-02T06:00:00+08:00
31,42,42,38,34,26,2017-01-02T07:00:00+08:00
31,41,41,39,34,26,2017-01-02T08:00:00+08:00
32,43,43,40,35,26,2017-01-02T10:00:00+08:00
32,44,44,40,36,24,2017-01-02T11:00:00+08:00
34,45,45,42,37,23,2017-01-02T12:00:00+08:00
34,46,46,42,38,25,2017-01-02T13:00:00+08:00
34,47,47,42,38,26,2017-01-02T14:00:00+08:00
35,48,48,42,41,28,2017-01-02T15:00:00+08:00
39,51,51,42,45,29,2017-01-02T16:00:00+08:00
39,51,51,42,44,29,2017-01-02T17:00:00+08:00
39,51,51,42,44,30,2017-01-02T18:00:00+08:00
38,51,51,40,44,29,2017-01-02T19:00:00+08:00
37,51,51,41,43,29,2017-01-02T20:00:00+08:00
36,51,51,42,41,30,2017-01-02T21:00:00+08:00
37,51,51,42,41,29,2017-01-02T22:00:00+08:00
36,51,51,41,41,29,2017-01-02T23:00:00+08:00
36,51,51,40,40,29,2017-01-03T01:00:00+08:00
35,51,51,40,39,30,2017-01-03T02:00:00+08:00
35,50,50,40,39,30,2017-01-03T03:00:00+08:00
35,51,51,41,39,30,2017-01-03T04:00:00+08:00
35,51,51,39,38,29,2017-01-03T06:00:00+08:00
35,51,51,41,38,28,2017-01-03T07:00:00+08:00
35,50,50,42,39,28,2017-01-03T08:00:00+08:00
36,51,51,44,40,29,2017-01-03T09:00:00+08:00
37,50,50,45,40,29,2017-01-03T10:00:00+08:00
36,49,49,47,40,29,2017-01-03T11:00:00+08:00
35,48,48,47,39,31,2017-01-03T12:00:00+08:00
37,49,49,48,40,29,2017-01-03T13:00:00+08:00
38,49,50,50,39,28,2017-01-03T14:00:00+08:00
36,50,50,50,36,26,2017-01-03T15:00:00+08:00
34,49,51,51,34,27,2017-01-03T16:00:00+08:00
34,49,51,51,35,27,2017-01-03T17:00:00+08:00
33,49,51,51,34,27,2017-01-03T18:00:00+08:00
34,49,52,52,35,28,2017-01-03T19:00:00+08:00
35,48,51,51,34,28,2017-01-03T20:00:00+08:00
34,47,49,49,34,28,2017-01-03T21:00:00+08:00
33,45,49,49,35,28,2017-01-03T22:00:00+08:00
34,45,50,50,35,28,2017-01-03T23:00:00+08:00
32,42,48,48,35,26,2017-01-04T02:00:00+08:00
32,42,47,47,35,25,2017-01-04T03:00:00+08:00
32,41,46,46,34,24,2017-01-04T04:00:00+08:00
31,39,45,45,34,24,2017-01-04T05:00:00+08:00
31,39,45,45,35,25,2017-01-04T06:00:00+08:00
30,39,43,43,35,25,2017-01-04T07:00:00+08:00
29,39,41,41,33,24,2017-01-04T08:00:00+08:00
28,37,39,39,31,23,2017-01-04T09:00:00+08:00
28,36,37,37,30,23,2017-01-04T10:00:00+08:00
28,36,36,34,30,23,2017-01-04T11:00:00+08:00
27,37,37,33,30,22,2017-01-04T12:00:00+08:00
27,37,37,32,28,23,2017-01-04T13:00:00+08:00
23,32,32,28,24,21,2017-01-04T17:00:00+08:00
24,33,33,28,24,22,2017-01-04T18:00:00+08:00
23,34,34,29,25,22,2017-01-04T19:00:00+08:00
25,35,35,29,25,22,2017-01-04T20:00:00+08:00
26,35,35,31,25,22,2017-01-04T22:00:00+08:00
26,35,35,31,26,23,2017-01-04T23:00:00+08:00
30,36,36,31,27,24,2017-01-05T01:00:00+08:00
31,37,37,32,28,25,2017-01-05T02:00:00+08:00
31,39,39,34,29,25,2017-01-05T03:00:00+08:00
32,39,39,35,29,26,2017-01-05T04:00:00+08:00
32,41,41,36,28,26,2017-01-05T05:00:00+08:00
32,43,43,38,28,26,2017-01-05T06:00:00+08:00
33,44,44,38,29,26,2017-01-05T07:00:00+08:00
34,44,44,37,31,26,2017-01-05T08:00:00+08:00
34,44,44,37,31,27,2017-01-05T09:00:00+08:00
33,43,43,41,32,26,2017-01-05T10:00:00+08:00
32,43,43,41,32,25,2017-01-05T11:00:00+08:00
32,41,42,42,32,27,2017-01-05T12:00:00+08:00
31,40,42,42,32,26,2017-01-05T13:00:00+08:00
32,39,44,44,32,27,2017-01-05T16:00:00+08:00
31,37,42,42,29,25,2017-01-05T19:00:00+08:00
30,35,42,42,29,25,2017-01-05T20:00:00+08:00
29,35,41,41,29,25,2017-01-05T21:00:00+08:00
29,35,42,42,28,24,2017-01-05T22:00:00+08:00
28,36,42,42,28,24,2017-01-05T23:00:00+08:00
26,37,47,47,32,25,2017-01-06T01:00:00+08:00
28,37,48,48,33,28,2017-01-06T02:00:00+08:00
31,36,48,48,33,29,2017-01-06T03:00:00+08:00
31,35,47,47,34,28,2017-01-06T04:00:00+08:00
31,34,48,48,34,30,2017-01-06T05:00:00+08:00
33,34,47,47,33,30,2017-01-06T06:00:00+08:00
34,32,47,47,32,32,2017-01-06T07:00:00+08:00
34,32,48,48,33,32,2017-01-06T08:00:00+08:00
34,32,49,49,33,33,2017-01-06T09:00:00+08:00
34,33,47,47,32,33,2017-01-06T10:00:00+08:00
35,36,45,45,34,35,2017-01-06T12:00:00+08:00
39,36,48,48,38,36,2017-01-06T14:00:00+08:00
40,37,48,48,39,38,2017-01-06T15:00:00+08:00
41,40,49,49,41,40,2017-01-06T16:00:00+08:00
