west,national,east,central,south,north,timestamp
24,36,35,32,36,36,2019-01-01T01:00:00+08:00
24,37,35,31,37,37,2019-01-01T02:00:00+08:00
24,39,35,32,37,39,2019-01-01T03:00:00+08:00
24,39,35,32,37,39,2019-01-01T04:00:00+08:00
24,39,35,32,38,39,2019-01-01T05:00:00+08:00
24,39,34,32,38,39,2019-01-01T06:00:00+08:00
25,40,34,33,39,40,2019-01-01T07:00:00+08:00
25,41,33,33,39,41,2019-01-01T08:00:00+08:00
26,42,33,35,40,42,2019-01-01T09:00:00+08:00
26,43,33,37,40,43,2019-01-01T10:00:00+08:00
26,44,33,38,40,44,2019-01-01T11:00:00+08:00
26,44,35,38,40,44,2019-01-01T12:00:00+08:00
26,45,36,38,39,45,2019-01-01T13:00:00+08:00
26,45,36,38,38,45,2019-01-01T14:00:00+08:00
26,45,37,38,39,45,2019-01-01T15:00:00+08:00
25,43,37,38,37,43,2019-01-01T16:00:00+08:00
25,43,37,38,38,43,2019-01-01T17:00:00+08:00
26,43,37,38,39,43,2019-01-01T18:00:00+08:00
26,44,37,39,39,44,2019-01-01T19:00:00+08:00
24,43,37,39,37,43,2019-01-01T20:00:00+08:00
24,42,37,38,38,42,2019-01-01T21:00:00+08:00
24,40,36,37,37,40,2019-01-01T22:00:00+08:00
24,40,38,37,36,40,2019-01-01T23:00:00+08:00
24,39,39,35,35,39,2019-01-02T01:00:00+08:00
24,40,40,36,37,37,2019-01-02T02:00:00+08:00
24,41,41,37,38,37,2019-01-02T03:00:00+08:00
25,42,42,39,40,40,2019-01-02T04:00:00+08:00
25,43,43,41,41,41,2019-01-02T05:00:00+08:00
25,45,45,42,42,43,2019-01-02T06:00:00+08:00
25,46,46,43,42,44,2019-01-02T07:00:00+08:00
27,47,47,43,42,43,2019-01-02T08:00:00+08:00
28,46,46,43,43,43,2019-01-02T09:00:00+08:00
28,48,48,43,45,43,2019-01-02T10:00:00+08:00
30,49,49,44,48,44,2019-01-02T11:00:00+08:00
30,50,50,46,49,45,2019-01-02T12:00:00+08:00
31,51,51,47,51,46,2019-01-02T13:00:00+08:00
31,51,51,47,51,47,2019-01-02T14:00:00+08:00
32,52,52,48,52,48,2019-01-02T15:00:00+08:00
34,52,52,50,51,49,2019-01-02T16:00:00+08:00
36,53,53,51,52,50,2019-01-02T17:00:00+08:00
37,53,53,52,52,51,2019-01-02T18:00:00+08:00
39,53,53,52,53,52,2019-01-02T19:00:00+08:00
41,54,54,52,54,52,2019-01-02T20:00:00+08:00
42,54,54,53,54,53,2019-01-02T21:00:00+08:00
44,55,55,53,55,53,2019-01-02T22:00:00+08:00
46,55,55,53,55,54,2019-01-02T23:00:00+08:00
51,56,56,54,56,54,2019-01-03T01:00:00+08:00
52,57,56,55,57,54,2019-01-03T02:00:00+08:00
